Time, BOX1, BOX2, BOX3
2022/04/07-12:17:35.270975,56.0,56.0,56.0
2022/04/07-12:18:35.292108,56.1,56.1,56.1
2022/04/07-12:19:35.307672,56.0,56.0,56.0
2022/04/07-12:20:35.310081,56.0,56.0,56.0
2022/04/07-12:21:35.321871,56.0,56.0,56.0
2022/04/07-12:22:35.348656,56.0,56.0,56.0
2022/04/07-12:23:35.375384,56.0,56.0,56.0
2022/04/07-12:24:35.393636,56.0,56.0,56.0
2022/04/07-12:25:35.412723,56.0,56.0,56.0
2022/04/07-12:26:35.415889,56.0,56.0,56.0
2022/04/07-12:27:35.417626,56.0,56.0,56.0
2022/04/07-12:28:35.426367,56.0,56.0,56.0
2022/04/07-12:29:35.440794,56.0,56.0,56.0
2022/04/07-12:30:35.442530,56.0,56.0,56.0
2022/04/07-15:33:28.637665,55.4,55.4,55.4
2022/04/07-15:34:28.644493,55.4,55.4,55.4
2022/04/07-15:35:28.649597,55.4,55.4,55.4
2022/04/07-15:36:28.666448,55.4,55.4,55.4
2022/04/07-15:37:28.698017,55.4,55.4,55.4
2022/04/07-15:38:28.699593,55.4,55.4,55.4
2022/04/07-15:39:28.726881,55.5,55.5,55.5
2022/04/07-15:40:28.741216,55.4,55.4,55.4
2022/04/07-15:41:28.745062,55.5,55.5,55.5
2022/04/07-15:42:28.768209,55.5,55.5,55.5
2022/04/07-15:43:28.777981,55.5,55.5,55.5
2022/04/07-15:44:28.782011,55.5,55.5,55.5
2022/04/07-15:45:28.797965,55.5,55.5,55.5
2022/04/07-15:46:28.822522,55.6,55.6,55.6
2022/04/07-15:47:28.842429,55.6,55.6,55.6
2022/04/07-15:48:28.853765,55.6,55.6,55.6
2022/04/07-15:49:28.870830,55.6,55.6,55.6
2022/04/07-15:50:28.883562,55.6,55.6,55.6
2022/04/07-15:51:28.887877,55.6,55.6,55.6
2022/04/07-15:52:28.900849,55.6,55.6,55.6
2022/04/07-15:53:28.908798,55.6,55.6,55.6
2022/04/07-15:54:28.927956,55.7,55.7,55.7
2022/04/07-15:55:28.944715,55.7,55.7,55.7
2022/04/07-15:56:28.959858,55.7,55.7,55.7
2022/04/07-15:57:28.968255,55.7,55.7,55.7
2022/04/07-15:58:28.978130,55.7,55.7,55.7
2022/04/07-15:59:28.977826,55.7,55.7,55.7
2022/04/07-16:00:29.004821,55.7,55.7,55.7
2022/04/07-16:01:29.005971,55.7,55.7,55.7
2022/04/07-16:02:29.020503,55.8,55.8,55.8
2022/04/07-16:03:29.026250,55.8,55.8,55.8
2022/04/07-16:04:29.033740,55.7,55.7,55.7
2022/04/07-16:05:29.050903,55.8,55.8,55.8
2022/04/07-16:06:29.053749,55.8,55.8,55.8
2022/04/07-16:07:29.060453,55.8,55.8,55.8
2022/04/07-16:08:29.074905,55.8,55.8,55.8
2022/04/07-16:09:29.099864,55.8,55.8,55.8
2022/04/07-16:10:29.118603,55.8,55.8,55.8
2022/04/07-16:11:29.129004,55.8,55.8,55.8
2022/04/07-16:12:29.140617,55.8,55.8,55.8
2022/04/07-16:13:29.156462,55.8,55.8,55.8
2022/04/07-16:14:29.180389,55.8,55.8,55.8
2022/04/07-16:15:29.199297,55.9,55.9,55.9
2022/04/07-16:16:29.201343,55.8,55.8,55.8
2022/04/07-16:17:29.227604,55.9,55.9,55.9
2022/04/07-16:18:29.245677,55.9,55.9,55.9
2022/04/07-16:19:29.246146,55.9,55.9,55.9
2022/04/07-16:20:29.264141,55.9,55.9,55.9
2022/04/07-16:21:29.274024,55.9,55.9,55.9
2022/04/07-16:22:29.296134,55.9,55.9,55.9
2022/04/07-16:23:29.310438,55.9,55.9,55.9
2022/04/07-16:24:29.312715,55.9,55.9,55.9
2022/04/07-16:25:29.322667,55.9,55.9,55.9
2022/04/07-16:26:29.342266,55.9,55.9,55.9
2022/04/07-16:27:29.351549,55.9,55.9,55.9
2022/04/07-16:28:29.353160,56.0,56.0,56.0
2022/04/07-16:29:29.377269,56.0,56.0,56.0
2022/04/07-16:30:29.389480,56.0,56.0,56.0
2022/04/07-16:31:29.403497,55.9,55.9,55.9
2022/04/07-16:32:29.413098,56.0,56.0,56.0
2022/04/07-16:33:29.424655,56.0,56.0,56.0
2022/04/07-16:34:29.453834,56.0,56.0,56.0
2022/04/07-16:35:29.460991,56.0,56.0,56.0
2022/04/07-16:36:29.469958,56.0,56.0,56.0
2022/04/07-16:37:29.483102,56.0,56.0,56.0
2022/04/07-16:38:29.495048,56.0,56.0,56.0
2022/04/07-16:39:29.507421,56.0,56.0,56.0
2022/04/07-16:40:29.513791,56.0,56.0,56.0
2022/04/07-16:41:29.528334,56.0,56.0,56.0
2022/04/07-16:42:29.531941,56.0,56.0,56.0
2022/04/07-16:43:29.554914,56.0,56.0,56.0
2022/04/07-16:44:29.564341,56.0,56.0,56.0
2022/04/07-16:45:29.595630,56.0,56.0,56.0
2022/04/07-16:46:29.611064,56.0,56.0,56.0
2022/04/07-16:47:29.642209,56.0,56.0,56.0
2022/04/07-16:48:29.661367,56.0,56.0,56.0
2022/04/07-16:49:29.661941,56.0,56.0,56.0
2022/04/07-16:50:29.686693,55.9,55.9,55.9
2022/04/07-16:51:29.696638,55.9,55.9,55.9
2022/04/07-16:52:29.697769,55.9,55.9,55.9
2022/04/07-16:53:29.709533,55.9,55.9,55.9
