Time, BOX1, BOX2, BOX3
2022/04/07-11:15:07.781516,55.7,0.0,0.0
2022/04/07-11:17:56.375822,55.7,0.0,0.0
2022/04/07-11:18:56.389490,55.7,0.0,0.0
2022/04/07-11:20:10.102432,55.7,0.0,0.0
2022/04/07-11:21:10.118651,55.7,0.0,0.0
2022/04/07-11:22:10.118861,55.7,0.0,0.0
2022/04/07-11:23:10.136624,55.7,0.0,0.0
2022/04/07-11:24:10.139924,55.8,0.0,0.0
2022/04/07-11:25:10.141412,55.7,0.0,0.0
2022/04/07-11:26:10.150901,55.8,0.0,0.0
2022/04/07-11:52:02.227578,56.0,56.0,56.0
2022/04/07-11:53:02.237005,56.0,56.0,56.0
2022/04/07-11:54:34.932085,56.0,56.0,56.0
2022/04/07-11:55:34.952041,56.0,56.0,56.0
2022/04/07-11:56:34.971817,56.0,56.0,56.0
2022/04/07-11:57:34.996857,56.0,56.0,56.0
2022/04/07-11:58:35.032535,56.0,56.0,56.0
2022/04/07-11:59:35.045431,56.0,56.0,56.0
2022/04/07-12:00:35.045835,56.0,56.0,56.0
2022/04/07-12:01:35.065218,56.1,56.1,56.1
2022/04/07-12:02:35.084368,56.0,56.0,56.0
2022/04/07-12:03:35.103685,56.0,56.0,56.0
2022/04/07-12:04:35.106444,56.0,56.0,56.0
2022/04/07-12:05:35.116668,56.1,56.1,56.1
2022/04/07-12:06:35.135089,56.0,56.0,56.0
2022/04/07-12:07:35.149572,56.0,56.0,56.0
2022/04/07-12:08:35.167774,56.0,56.0,56.0
2022/04/07-12:09:35.169638,56.0,56.0,56.0
2022/04/07-12:10:35.170135,56.0,56.0,56.0
2022/04/07-12:11:35.183897,56.0,56.0,56.0
2022/04/07-12:12:35.191333,56.0,56.0,56.0
2022/04/07-12:13:35.221771,56.0,56.0,56.0
2022/04/07-12:14:35.242130,56.0,56.0,56.0
2022/04/07-12:15:35.264348,56.0,56.0,56.0
2022/04/07-12:16:35.268782,56.0,56.0,56.0
