Time, BOX1, BOX2, BOX3
start
2022/05/03-09:00:50.179068,0.0,0.0,0.0
2022/05/03-09:00:50.295065,0.0,0.0,0.0
2022/05/03-09:00:50.413885,0.0,0.0,0.0
2022/05/03-09:00:50.517367,0.0,0.0,0.0
2022/05/03-09:00:50.630057,0.0,0.0,0.0
2022/05/03-09:00:50.768196,131.1,111.9,0.0
2022/05/03-09:00:50.876092,127.9,111.9,0.0
2022/05/03-09:00:50.986615,129.5,111.9,0.0
stop
start
2022/05/03-09:12:14.013892,127.9,111.9,290.8
2022/05/03-09:12:14.124499,292.2,248.0,289.2
2022/05/03-09:12:14.234678,290.6,249.5,289.2
2022/05/03-09:12:14.356914,292.2,249.5,290.8
2022/05/03-09:12:14.504446,292.2,249.5,292.4
2022/05/03-09:12:14.629679,292.2,249.5,290.8
2022/05/03-09:12:14.731392,295.3,257.4,289.2
2022/05/03-09:12:14.837354,292.2,257.4,289.2
2022/05/03-09:12:14.957861,292.2,260.5,290.8
2022/05/03-09:12:15.062823,293.8,262.1,290.8
2022/05/03-09:12:15.223620,293.8,258.9,290.8
2022/05/03-09:12:15.338545,292.2,258.9,290.8
2022/05/03-09:12:15.445000,290.6,258.9,289.2
2022/05/03-09:12:15.570096,290.6,260.5,289.2
2022/05/03-09:12:15.711010,292.2,260.5,290.8
2022/05/03-09:12:15.826299,290.6,260.5,290.8
2022/05/03-09:12:15.942070,293.8,260.5,289.2
2022/05/03-09:12:16.075215,290.6,258.9,290.8
2022/05/03-09:12:16.236531,290.6,262.1,289.2
2022/05/03-09:12:16.339952,290.6,258.9,290.8
2022/05/03-09:12:16.451539,290.6,258.9,290.8
2022/05/03-09:12:16.563125,292.2,257.4,290.8
2022/05/03-09:12:16.736983,290.6,258.9,290.8
2022/05/03-09:12:16.837431,290.6,257.4,290.8
2022/05/03-09:12:16.958972,290.6,258.9,290.8
2022/05/03-09:12:17.065815,290.6,257.4,289.2
2022/05/03-09:12:17.228856,292.2,255.8,289.2
2022/05/03-09:12:17.332540,290.6,257.4,289.2
2022/05/03-09:12:17.451470,290.6,257.4,290.8
2022/05/03-09:12:17.592839,292.2,255.8,290.8
2022/05/03-09:12:17.719829,292.2,255.8,289.2
2022/05/03-09:12:17.826534,292.2,258.9,289.2
2022/05/03-09:12:17.930138,290.6,258.9,290.8
2022/05/03-09:12:18.076946,293.8,257.4,289.2
2022/05/03-09:12:18.220259,292.2,257.4,290.8
2022/05/03-09:12:18.329060,292.2,257.4,292.4
2022/05/03-09:12:18.451490,292.2,258.9,290.8
2022/05/03-09:12:18.598846,292.2,257.4,290.8
2022/05/03-09:12:18.737382,292.2,252.7,289.2
2022/05/03-09:12:18.862828,292.2,252.7,289.2
2022/05/03-09:12:18.978021,292.2,255.8,289.2
2022/05/03-09:12:19.100832,292.2,251.1,289.2
2022/05/03-09:12:19.228812,292.2,248.0,290.8
